import_value_eur,export_value_eur,import_qty_kg,export_qty_kg,date,export_value_eur_real_2025,import_value_eur_real_2025
36525467,10124000,7507909,1657153,2012-07-01,14688685.426408486,52993984.07898697
37813488,11650200,8052449,1785622,2012-08-01,16903014.910583183,54862744.973061256
37133337,10849045,7456450,1969119,2012-09-01,15740637.019157432,53875929.08196513
38644094,13555187,7351604,2076844,2012-10-01,19666917.99082791,56067852.662441686
46528818,14764429,9582571,2128020,2012-11-01,21421380.19375176,67507622.56663501
37465470,10998342,6984648,1645843,2012-12-01,15957248.70111185,54357813.43170134
31839681,12421947,7159878,2027557,2013-01-01,17669338.619405508,45289688.09179848
35496341,11177423,6933713,1778989,2013-02-01,15899091.493413342,50491027.604520224
39726544,11963753,8189910,1843696,2013-03-01,17017590.150394984,56508191.357982144
36864754,11963534,7435620,2020211,2013-04-01,17017278.63842688,52437498.046569005
34124052,11007563,7129990,1910513,2013-05-01,15657477.690207433,48539043.82736473
34493308,11725444,7583319,1981637,2013-06-01,16678612.499222273,49064284.29902728
33283679,10883212,6580542,1880521,2013-07-01,15480597.211916735,47343672.835715376
30400864,10249784,6110097,1676110,2013-08-01,14579590.805834599,43243072.952935204
37660157,11451318,7508552,1728542,2013-09-01,16288687.705759287,53568902.40257624
38777985,12196108,7722171,1714657,2013-10-01,17348098.658836693,55158933.45408957
40749465,12877771,7847349,1963356,2013-11-01,18317715.931500938,57963223.93298032
39426763,11852911,7709661,2242530,2013-12-01,16859925.266520325,56081774.146520525
31158763,11592986,6528998,1697092,2014-01-01,16214552.987606123,43580266.0066838
31807402,11306712,6009240,2632854,2014-02-01,15814155.286619168,44487486.2375482
36643169,11179102,7242765,1795994,2014-03-01,15635673.305639599,51251041.395573676
35634975,13001946,7223501,2071121,2014-04-01,18185197.701350927,49840928.84693551
34607727,10611227,6452166,1655198,2014-05-01,14841413.804434575,48404166.3831999
35141385,11916068,7005899,1916228,2014-06-01,16666432.271195507,49150568.20911946
40060811,12980510,7674019,1756990,2014-07-01,18155216.197203305,56031133.194327526
33026493,11393982,6340349,1781283,2014-08-01,15936215.646152802,46192570.29580668
44944194,17619219,8029127,2478675,2014-09-01,24643155.790556166,62861286.56570871
44179972,16604474,7681411,2531226,2014-10-01,23223880.67270401,61792405.94139895
46056826,16324844,7916059,2505822,2014-11-01,22832775.615566507,64417471.5313169
43655291,15996439,7493503,2494769,2014-12-01,22373451.30741201,61058559.8144313
34881333,11541923,6155089,1790730,2015-01-01,15999141.348688215,48351680.83322535
36321487,12814955,6134356,1909080,2015-02-01,17763788.271857195,50347988.32980791
44574577,15450907,7797055,2243910,2015-03-01,21417682.743026115,61788226.96884971
42242953,15425538,7517793,2548866,2015-04-01,21382516.83376863,58556184.79112995
39710062,14084633,6354404,2014144,2015-05-01,19523785.95935864,55045151.04659533
43938198,13896251,7625346,2101162,2015-06-01,19262655.275542036,60906093.41343292
